Plot_ID,Mean,H_Distance,V_Distance,H_Degree,V_Degree,Original_file,Plot_Center_Longitude,Plot_Center_Latitude,Camera_Longitude,Camera_Latitude,Time_Stamp
19BYD20001,0.593,14.42,22.2,61.19,33,20181011_182438_IMG_0022_1.tif,-96.61921936,39.13268771,-96.6191352,39.1327998,182438
19BYD20001,0.594,12.13,21.8,55.86,29.1,20181011_182439_IMG_0023_1.tif,-96.61921936,39.13268771,-96.6191376,39.1327765,182439
19BYD20001,0.599,9.68,22.4,46.24,23.38,20181011_182441_IMG_0024_1.tif,-96.61921936,39.13268771,-96.6191398,39.1327491,182441
19BYD20001,0.618,8.47,26.2,80.46,17.92,20181011_182628_IMG_0100_1.tif,-96.61921936,39.13268771,-96.6192006,39.1327626,182628
19BYD20001,0.614,11.36,26.2,82.5,23.45,20181011_182629_IMG_0101_1.tif,-96.61921936,39.13268771,-96.6191988,39.1327888,182629
19BYD20001,0.613,10.6,27.2,98.93,21.3,20181011_182651_IMG_0117_1.tif,-96.61921936,39.13268771,-96.6192352,39.1327824,182651
19BYD20001,0.618,7.9,27.3,100.73,16.13,20181011_182652_IMG_0118_1.tif,-96.61921936,39.13268771,-96.619234,39.1327579,182652
19BYD20002,0.416,9.35,26.2,70.87,19.64,20181011_182628_IMG_0100_1.tif,-96.61923871,39.13268379,-96.6192006,39.1327626,182628
19BYD20002,0.417,12.16,26.2,75.01,24.9,20181011_182629_IMG_0101_1.tif,-96.61923871,39.13268379,-96.6191988,39.1327888,182629
19BYD20002,0.411,10.95,27.2,89.92,21.93,20181011_182651_IMG_0117_1.tif,-96.61923871,39.13268379,-96.6192352,39.1327824,182651
19BYD20002,0.41,8.24,27.3,88.67,16.79,20181011_182652_IMG_0118_1.tif,-96.61923871,39.13268379,-96.619234,39.1327579,182652
19BYD20002,0.427,9.58,26.3,111.28,20.02,20181011_182839_IMG_0195_1.tif,-96.61923871,39.13268379,-96.6192762,39.132765,182839
19BYD20002,0.427,12.81,26.6,107.89,25.72,20181011_182841_IMG_0196_1.tif,-96.61923871,39.13268379,-96.6192805,39.1327945,182841
19BYD20003,0.542,9.71,26.2,61.05,20.33,20181011_182628_IMG_0100_1.tif,-96.6192575,39.13268723,-96.6192006,39.1327626,182628
19BYD20003,0.539,12.37,26.2,67.27,25.27,20181011_182629_IMG_0101_1.tif,-96.6192575,39.13268723,-96.6191988,39.1327888,182629
